symbol,timestamp,open,high,low,close,volume
AAPL,2026-01-02T14:30:00+00:00,272.26,277.84,269,271.01,37838100
AAPL,2026-01-05T14:30:00+00:00,270.64,271.51,266.14,267.26,45647200
AAPL,2026-01-06T14:30:00+00:00,267,267.55,262.12,262.36,52352100
AAPL,2026-01-07T14:30:00+00:00,263.2,263.68,259.81,260.33,48309800
AAPL,2026-01-08T14:30:00+00:00,257.02,259.29,255.7,259.04,50419300
AAPL,2026-01-09T14:30:00+00:00,259.08,260.21,256.22,259.37,39997000
AAPL,2026-01-12T14:30:00+00:00,259.16,261.3,256.8,260.25,45263800
AAPL,2026-01-13T14:30:00+00:00,258.72,261.81,258.39,261.05,45730800
AAPL,2026-01-14T14:30:00+00:00,259.49,261.82,256.71,259.96,40019400
AAPL,2026-01-15T14:30:00+00:00,260.65,261.04,257.05,258.21,39388600
AAPL,2026-01-16T14:30:00+00:00,257.9,258.9,254.93,255.53,72142800
AAPL,2026-01-20T14:30:00+00:00,252.73,254.79,243.42,246.7,80267500
AAPL,2026-01-21T14:30:00+00:00,248.7,251.56,245.18,247.65,54641700
AAPL,2026-01-22T14:30:00+00:00,249.2,251,248.15,248.35,39708300
AAPL,2026-01-23T14:30:00+00:00,247.32,249.41,244.68,248.04,41689000
AAPL,2026-01-26T14:30:00+00:00,251.48,256.56,249.8,255.41,55969200
AAPL,2026-01-27T14:30:00+00:00,259.17,261.95,258.21,258.27,49648300
AAPL,2026-01-28T14:30:00+00:00,257.65,258.86,254.51,256.44,41288000
AAPL,2026-01-29T14:30:00+00:00,258,259.65,254.41,258.28,67253000
AAPL,2026-01-30T14:30:00+00:00,255.17,261.9,252.18,259.48,92443400
AAPL,2026-02-02T14:30:00+00:00,260.03,270.49,259.21,270.01,73913400
AAPL,2026-02-03T14:30:00+00:00,269.2,271.88,267.61,269.48,64394700
AAPL,2026-02-04T14:30:00+00:00,272.29,278.95,272.29,276.49,90545700
AAPL,2026-02-05T14:30:00+00:00,278.13,279.5,273.23,275.91,52977400
AAPL,2026-02-06T14:30:00+00:00,277.12,280.91,276.93,278.12,50453400
AAPL,2026-02-09T14:30:00+00:00,277.91,278.2,271.7,274.62,44623400
AAPL,2026-02-10T14:30:00+00:00,274.89,275.37,272.94,273.68,34376900
AAPL,2026-02-11T14:30:00+00:00,274.7,280.18,274.45,275.5,51931300
AAPL,2026-02-12T14:30:00+00:00,275.59,275.72,260.18,261.73,81077200
