symbol,timestamp,open,high,low,close,volume
AAPL,2025-07-02T13:30:00+00:00,208.91,213.34,208.14,212.44,67941800
AAPL,2025-07-03T13:30:00+00:00,212.15,214.65,211.81,213.55,34955800
AAPL,2025-07-07T13:30:00+00:00,212.68,216.23,208.8,209.95,50229000
AAPL,2025-07-08T13:30:00+00:00,210.1,211.43,208.45,210.01,42848900
AAPL,2025-07-09T13:30:00+00:00,209.53,211.33,207.22,211.14,48749400
AAPL,2025-07-10T13:30:00+00:00,210.51,213.48,210.03,212.41,44443600
AAPL,2025-07-11T13:30:00+00:00,210.57,212.13,209.86,211.16,39765800
AAPL,2025-07-14T13:30:00+00:00,209.93,210.91,207.54,208.62,38840100
AAPL,2025-07-15T13:30:00+00:00,209.22,211.89,208.92,209.11,42296300
AAPL,2025-07-16T13:30:00+00:00,210.3,212.4,208.64,210.16,47490500
AAPL,2025-07-17T13:30:00+00:00,210.57,211.8,209.59,210.02,48068100
AAPL,2025-07-18T13:30:00+00:00,210.87,211.79,209.7,211.18,48974600
AAPL,2025-07-21T13:30:00+00:00,212.1,215.78,211.63,212.48,51377400
AAPL,2025-07-22T13:30:00+00:00,213.14,214.95,212.23,214.4,46404100
AAPL,2025-07-23T13:30:00+00:00,215,215.15,212.41,214.15,46989300
AAPL,2025-07-24T13:30:00+00:00,213.9,215.69,213.53,213.76,46022600
AAPL,2025-07-25T13:30:00+00:00,214.7,215.24,213.4,213.88,40268800
AAPL,2025-07-28T13:30:00+00:00,214.03,214.85,213.06,214.05,37858000
AAPL,2025-07-29T13:30:00+00:00,214.18,214.81,210.82,211.27,51411700
AAPL,2025-07-30T13:30:00+00:00,211.9,212.39,207.72,209.05,45512500
AAPL,2025-07-31T13:30:00+00:00,208.49,209.84,207.16,207.57,80698400
AAPL,2025-08-01T13:30:00+00:00,210.87,213.58,201.5,202.38,104434500
AAPL,2025-08-04T13:30:00+00:00,204.51,207.88,201.68,203.35,75109300
AAPL,2025-08-05T13:30:00+00:00,203.4,205.34,202.16,202.92,44155100
AAPL,2025-08-06T13:30:00+00:00,205.63,215.38,205.59,213.25,108483100
AAPL,2025-08-07T13:30:00+00:00,218.88,220.85,216.58,220.03,90224800
AAPL,2025-08-08T13:30:00+00:00,220.83,231,219.25,229.35,113854000
AAPL,2025-08-11T13:30:00+00:00,227.92,229.56,224.76,227.18,61806100
AAPL,2025-08-12T13:30:00+00:00,228.01,230.8,227.07,229.65,55626200
AAPL,2025-08-13T13:30:00+00:00,231.07,235,230.43,233.33,69878500
AAPL,2025-08-14T13:30:00+00:00,234.06,235.12,230.85,232.78,51916300
AAPL,2025-08-15T13:30:00+00:00,234,234.28,229.34,231.59,56038700
AAPL,2025-08-18T13:30:00+00:00,231.7,233.12,230.11,230.89,37476200
AAPL,2025-08-19T13:30:00+00:00,231.28,232.87,229.35,230.56,39402600
AAPL,2025-08-20T13:30:00+00:00,229.98,230.47,225.77,226.01,42263900
