rank_by_return,strategy_id,group,status,validation_status,backtest_status,trade_count,total_return_pct,benchmark_return_pct,max_drawdown_pct,sharpe,profit_factor,win_rate,source
1,volatility_contraction_breakout,champion_strategy,experimental,not_validated_historical_backtest_only,backtested,6,0.06493173,0.02170924,-0.03180564,2.37554596,7.43528347,0.83333333,existing_strategy_catalog
2,ts_momentum_sma_atr,champion_strategy,experimental,not_validated_historical_backtest_only,backtested,25,0.05867768,0.02170924,-0.07417176,1.2621966,1.65669322,0.56,existing_strategy_catalog
3,donchian_breakout_20_10,champion_strategy,experimental,not_validated_historical_backtest_only,backtested,15,0.05786375,0.02170924,-0.05340737,1.47202846,1.81879259,0.4,existing_strategy_catalog
4,cross_sectional_relative_strength,champion_strategy,experimental,not_validated_historical_backtest_only,backtested,11,0.05491269,0.02170924,-0.05314565,1.6030982,2.95987554,0.54545455,existing_strategy_catalog
5,benchmark_buy_hold_equal_weight,benchmark,benchmark,not_validated_historical_backtest_only,backtested,6,0.02170924,0.02170924,-0.02097526,1.82339238,,1,existing_strategy_catalog
6,bullish_fvg_continuation,champion_strategy,experimental,not_validated_historical_backtest_only,backtested,23,0.00646534,0.02170924,-0.07661264,0.18948464,1.06171436,0.39130435,existing_strategy_catalog
7,cash_no_trade_baseline,baseline,baseline,not_validated_historical_backtest_only,backtested,0,0,0.02170924,0,,,0,existing_strategy_catalog
8,pullback_reclaim_uptrend,champion_strategy,experimental,not_validated_historical_backtest_only,backtested,10,-0.01431678,0.02170924,-0.03771275,-0.69155528,0.67162575,0.5,existing_strategy_catalog
9,failed_breakout_reversal_short,champion_strategy,experimental,not_validated_historical_backtest_only,backtested,33,-0.02144455,0.02170924,-0.04208033,-1.39663601,0.65735249,0.3030303,existing_strategy_catalog
10,lf_ts_momentum_sma_atr_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,learning_foundry
11,lf_donchian_breakout_20_10_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,learning_foundry
12,lf_cross_sectional_relative_strength_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,learning_foundry
13,lf_pullback_reclaim_uptrend_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,learning_foundry
14,lf_volatility_contraction_breakout_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,learning_foundry
15,lf_failed_breakout_reversal_short_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,learning_foundry
16,lf_bullish_fvg_continuation_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,learning_foundry
17,mm_ts_momentum_regime_filter_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
18,mm_donchian_turtle_vol_target_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
19,mm_relative_strength_factor_guard_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
20,mm_vol_contraction_risk_overlay_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
21,mm_public_quant_ensemble_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
22,mm_reflexive_macro_warning_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
23,mm_quality_value_parked_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
24,mm_trend_diversification_allocator_v1,shadow_challenger,shadow,not_validated,metadata_only_not_mechanically_replayed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,market_masters
