source,challenger_id,parent_strategy_ids,status,evidence_mode,backtest_status,validation_status,promotion_eligible,validation_eligible,no_live_trading,cannot_replace_parent,rule_description
learning_foundry,lf_ts_momentum_sma_atr_regime_filter_v1,ts_momentum_sma_atr,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Shadow-only challenger that wraps ts_momentum_sma_atr with deterministic regime and evidence filters.
learning_foundry,lf_donchian_breakout_20_10_regime_filter_v1,donchian_breakout_20_10,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Shadow-only challenger that wraps donchian_breakout_20_10 with deterministic regime and evidence filters.
learning_foundry,lf_cross_sectional_relative_strength_regime_filter_v1,cross_sectional_relative_strength,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Shadow-only challenger that wraps cross_sectional_relative_strength with deterministic regime and evidence filters.
learning_foundry,lf_pullback_reclaim_uptrend_regime_filter_v1,pullback_reclaim_uptrend,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Shadow-only challenger that wraps pullback_reclaim_uptrend with deterministic regime and evidence filters.
learning_foundry,lf_volatility_contraction_breakout_regime_filter_v1,volatility_contraction_breakout,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Shadow-only challenger that wraps volatility_contraction_breakout with deterministic regime and evidence filters.
learning_foundry,lf_failed_breakout_reversal_short_regime_filter_v1,failed_breakout_reversal_short,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Shadow-only challenger that wraps failed_breakout_reversal_short with deterministic regime and evidence filters.
learning_foundry,lf_bullish_fvg_continuation_regime_filter_v1,bullish_fvg_continuation,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Shadow-only challenger that wraps bullish_fvg_continuation with deterministic regime and evidence filters.
market_masters,mm_ts_momentum_regime_filter_v1,ts_momentum_sma_atr,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Champion plus regime and volatility state filter.
market_masters,mm_donchian_turtle_vol_target_v1,donchian_breakout_20_10,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Donchian breakout with explicit volatility budget and stop discipline.
market_masters,mm_relative_strength_factor_guard_v1,cross_sectional_relative_strength,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Relative-strength champion gated by factor rank stability.
market_masters,mm_vol_contraction_risk_overlay_v1,volatility_contraction_breakout,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Volatility contraction champion with drawdown and risk overlay.
market_masters,mm_public_quant_ensemble_v1,ts_momentum_sma_atr | donchian_breakout_20_10 | cross_sectional_relative_strength | pullback_reclaim_uptrend,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Multi-signal ensemble across existing champion features.
market_masters,mm_reflexive_macro_warning_v1,ts_momentum_sma_atr | donchian_breakout_20_10 | cross_sectional_relative_strength | pullback_reclaim_uptrend,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Macro/reflexivity warning layer that can only block or watch.
market_masters,mm_quality_value_parked_v1,cross_sectional_relative_strength,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Parked fundamentals-aware factor gate awaiting point-in-time fundamentals.
market_masters,mm_trend_diversification_allocator_v1,ts_momentum_sma_atr | donchian_breakout_20_10 | cross_sectional_relative_strength | pullback_reclaim_uptrend | volatility_contraction_breakout,shadow,historical_backtest_metadata,metadata_only_not_mechanically_replayed,not_validated,False,False,True,True,Allocator that favors diversified trend signals and blocks crowded one-factor exposure.
