trade_id,strategy_id,strategy_version,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop,target,quantity,gross_pnl,net_pnl,return_pct,r_multiple,exit_reason,holding_bars,fees_paid,slippage_paid,evidence
bullish_fvg_continuation:AAPL:2026-02-05:29,bullish_fvg_continuation,v1.0,AAPL,long,2026-02-05T14:30:00+00:00,2026-02-13T14:30:00+00:00,278.269065,258.416441,258.545714,312.378571,50,-992.631179,-995.314606,-0.07153613,-1.00927537,stop,7,2.683428,13.416893,bullish three-candle gap zone 261.90-267.61 | close 276.49 held above gap midpoint 264.75
bullish_fvg_continuation:SPY:2026-02-11:29,bullish_fvg_continuation,v1.0,SPY,long,2026-02-11T14:30:00+00:00,2026-02-13T14:30:00+00:00,696.738195,679.454389,679.794286,716.771429,28,-483.94658,-487.799919,-0.02500426,-1.02818219,stop,3,3.853339,19.26658,bullish three-candle gap zone 683.69-688.34 | close 692.12 held above gap midpoint 686.02
bullish_fvg_continuation:AAPL:2026-02-26:39,bullish_fvg_continuation,v1.0,AAPL,long,2026-02-26T14:30:00+00:00,2026-03-02T14:30:00+00:00,275.087475,261.268943,261.399643,299.890714,72,-994.934301,-998.796068,-0.05042821,-1.0134671,stop,3,3.861766,19.308587,bullish three-candle gap zone 264.75-267.71 | close 274.23 held above gap midpoint 266.23
bullish_fvg_continuation:AMZN:2026-03-06:48,bullish_fvg_continuation,v1.0,AMZN,long,2026-03-06T14:30:00+00:00,2026-03-13T13:30:00+00:00,215.097495,206.752286,206.855714,243.108571,92,-767.759189,-771.640207,-0.03899345,-1.01766764,stop,6,3.881018,19.404903,bullish three-candle gap zone 209.73-210.15 | close 218.94 held above gap midpoint 209.94
bullish_fvg_continuation:NVDA:2026-02-11:53,bullish_fvg_continuation,v1.0,NVDA,long,2026-02-11T14:30:00+00:00,2026-03-20T13:30:00+00:00,192.546225,173.482858,173.569643,218.480714,52,-991.295082,-993.198433,-0.0991968,-1.00650211,stop,27,1.903351,9.516511,bullish three-candle gap zone 176.82-183.95 | close 188.54 held above gap midpoint 180.38
bullish_fvg_continuation:AAPL:2026-04-06:64,bullish_fvg_continuation,v1.0,AAPL,long,2026-04-06T13:30:00+00:00,2026-04-07T13:30:00+00:00,256.638255,248.170496,248.294643,271.170714,77,-652.017479,-655.904506,-0.03319162,-1.02092957,stop,2,3.887027,19.434979,bullish three-candle gap zone 250.87-253.33 | close 255.92 held above gap midpoint 252.10
bullish_fvg_continuation:AMZN:2026-04-06:66,bullish_fvg_continuation,v1.0,AMZN,long,2026-04-06T13:30:00+00:00,2026-04-09T13:30:00+00:00,209.9049,227.401956,200.897143,227.515714,95,1662.220361,1658.065946,0.08314873,1.9375884,target,4,4.154415,20.772496,bullish three-candle gap zone 203.80-208.19 | close 209.77 held above gap midpoint 206.00
bullish_fvg_continuation:NVDA:2026-04-10:72,bullish_fvg_continuation,v1.0,NVDA,long,2026-04-10T13:30:00+00:00,2026-04-17T13:30:00+00:00,184.402155,201.297872,175.165714,201.398571,108,1824.737451,1820.571891,0.09141513,1.8250696,target,6,4.16556,20.828263,bullish three-candle gap zone 177.79-180.30 | close 183.91 held above gap midpoint 179.05
bullish_fvg_continuation:QQQ:2026-04-10:77,bullish_fvg_continuation,v1.0,QQQ,long,2026-04-10T13:30:00+00:00,2026-04-24T13:30:00+00:00,612.14592,661.187098,584.526071,661.517857,32,1569.317703,1565.243037,0.07990553,1.77096716,target,11,4.074666,20.373726,bullish three-candle gap zone 590.61-602.12 | close 610.19 held above gap midpoint 596.37
bullish_fvg_continuation:NVDA:2026-04-29:81,bullish_fvg_continuation,v1.0,NVDA,long,2026-04-29T13:30:00+00:00,2026-04-30T13:30:00+00:00,212.80635,200.869515,200.97,237.57,84,-1002.69414,-1006.169017,-0.05628687,-1.01198449,stop,2,3.474877,17.37414,bullish three-candle gap zone 203.83-207.38 | close 213.17 held above gap midpoint 205.61
