trade_id,strategy_id,strategy_version,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop,target,quantity,gross_pnl,net_pnl,return_pct,r_multiple,exit_reason,holding_bars,fees_paid,slippage_paid,evidence
donchian_breakout_20_10:AAPL:2026-02-05:28,donchian_breakout_20_10,v1.0,AAPL,long,2026-02-05T14:30:00+00:00,2026-02-12T14:30:00+00:00,278.269065,262.941321,263.072857,316.741429,65,-996.303379,-999.821246,-0.05527695,-1.01221736,stop,6,3.517868,17.589093,close 276.49 broke prior 20-bar high 271.88
donchian_breakout_20_10:NVDA:2026-02-26:38,donchian_breakout_20_10,v1.0,NVDA,long,2026-02-26T14:30:00+00:00,2026-02-27T14:30:00+00:00,194.367135,182.78856,182.88,233.6,87,-1007.336025,-1010.61728,-0.05976468,-1.0112435,stop,2,3.281255,16.406025,close 195.56 broke prior 20-bar high 194.49
donchian_breakout_20_10:AMZN:2026-04-09:76,donchian_breakout_20_10,v1.0,AMZN,long,2026-04-09T13:30:00+00:00,2026-04-23T13:30:00+00:00,225.342615,258.089462,208.927143,258.218571,60,1964.810829,1961.910236,0.14510573,1.99193198,target,11,2.900592,14.503457,close 221.25 broke prior 20-bar high 217.00
donchian_breakout_20_10:QQQ:2026-04-13:84,donchian_breakout_20_10,v1.0,QQQ,long,2026-04-13T13:30:00+00:00,2026-05-05T13:30:00+00:00,609.78474,679.284474,588.218571,679.624286,32,2223.991474,2219.866453,0.11376281,3.21665049,target,17,4.125021,20.625669,close 611.07 broke prior 20-bar high 610.50
donchian_breakout_20_10:SPY:2026-04-14:91,donchian_breakout_20_10,v1.0,SPY,long,2026-04-14T13:30:00+00:00,2026-05-14T13:30:00+00:00,688.033845,746.613649,665.804286,746.987143,29,1698.814324,1694.653847,0.08493236,2.62876734,target,23,4.160478,20.802819,close 686.10 broke prior 20-bar high 682.03
donchian_breakout_20_10:NVDA:2026-04-15:91,donchian_breakout_20_10,v1.0,NVDA,long,2026-04-15T13:30:00+00:00,2026-05-14T13:30:00+00:00,196.63827,228.941186,185.661429,229.055714,91,2939.565395,2935.692622,0.16405941,2.9389473,target,22,3.872773,19.364605,close 196.51 broke prior 20-bar high 190.00
donchian_breakout_20_10:NVDA:2026-05-15:93,donchian_breakout_20_10,v1.0,NVDA,long,2026-05-15T13:30:00+00:00,2026-05-18T13:30:00+00:00,229.87488,219.500195,219.61,284.13,87,-902.597595,-906.507158,-0.04532736,-1.01507495,stop,2,3.909563,19.547595,close 235.74 broke prior 20-bar high 227.84
donchian_breakout_20_10:SPY:2026-05-15:93,donchian_breakout_20_10,v1.0,SPY,long,2026-05-15T13:30:00+00:00,2026-05-18T13:30:00+00:00,742.160895,734.379769,734.747143,788.438571,26,-202.309269,-206.148274,-0.01068337,-1.06946923,stop,2,3.839006,19.194983,close 748.17 broke prior 20-bar high 743.91
donchian_breakout_20_10:AAPL:2026-04-16:96,donchian_breakout_20_10,v1.0,AAPL,long,2026-04-16T13:30:00+00:00,2026-05-21T13:30:00+00:00,266.9334,303.722349,253.948571,303.874286,74,2722.382194,2718.159342,0.13760692,2.8288308,target,26,4.222853,21.114949,close 266.43 broke prior 20-bar high 262.19
donchian_breakout_20_10:QQQ:2026-05-06:100,donchian_breakout_20_10,v1.0,QQQ,long,2026-05-06T13:30:00+00:00,2026-05-28T13:30:00+00:00,688.12389,733.888586,664.061429,734.255714,29,1327.176196,1323.05236,0.06629983,1.89600284,target,16,4.123836,20.619518,close 681.61 broke prior 20-bar high 676.73
donchian_breakout_20_10:AMZN:2026-04-27:104,donchian_breakout_20_10,v1.0,AMZN,long,2026-04-27T13:30:00+00:00,2026-06-03T13:30:00+00:00,263.59173,249.325275,249.45,307.61,70,-998.65185,-1002.242269,-0.05431789,-1.01244662,stop,27,3.590419,17.95185,close 263.99 broke prior 20-bar high 258.79
donchian_breakout_20_10:SPY:2026-05-27:106,donchian_breakout_20_10,v1.0,SPY,long,2026-05-27T13:30:00+00:00,2026-06-05T13:30:00+00:00,751.25544,735.190792,735.558571,795.684286,26,-417.680844,-421.545604,-0.0215816,-1.0328998,stop,8,3.86476,19.323701,close 750.59 broke prior 20-bar high 749.53
donchian_breakout_20_10:QQQ:2026-05-29:106,donchian_breakout_20_10,v1.0,QQQ,long,2026-05-29T13:30:00+00:00,2026-06-05T13:30:00+00:00,738.20892,712.639216,712.995714,803.412857,27,-690.381996,-694.299286,-0.03483403,-1.01989365,stop,6,3.91729,19.586282,close 735.60 broke prior 20-bar high 733.32
donchian_breakout_20_10:AAPL:2026-05-22:108,donchian_breakout_20_10,v1.0,AAPL,long,2026-05-22T13:30:00+00:00,2026-06-09T13:30:00+00:00,306.27306,293.447489,293.594286,339.177143,65,-833.662143,-837.560326,-0.04207208,-1.0163083,stop,12,3.898184,19.490714,close 304.99 broke prior 20-bar high 303.20
donchian_breakout_20_10:MSFT:2026-04-16:110,donchian_breakout_20_10,v1.0,MSFT,long,2026-04-16T13:30:00+00:00,2026-06-11T13:30:00+00:00,420.06993,391.085788,391.281429,471.035714,34,-985.460833,-988.218762,-0.06919147,-1.00961343,stop,40,2.757929,13.789404,close 411.22 broke prior 20-bar high 404.40
