trade_id,strategy_id,strategy_version,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop,target,quantity,gross_pnl,net_pnl,return_pct,r_multiple,exit_reason,holding_bars,fees_paid,slippage_paid,evidence
pullback_reclaim_uptrend:MSFT:2026-05-18:102,pullback_reclaim_uptrend,v1.0,MSFT,long,2026-05-18T13:30:00+00:00,2026-06-01T13:30:00+00:00,416.82831,455.921925,404.805,456.15,47,1837.399905,1833.297979,0.09357891,3.24422642,target,10,4.101926,20.510095,uptrend close 421.92 above SMA50 399.06 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:AMZN:2026-05-28:102,pullback_reclaim_uptrend,v1.0,AMZN,long,2026-05-28T13:30:00+00:00,2026-06-01T13:30:00+00:00,272.406135,262.295572,262.426786,290.696429,73,-738.071076,-741.974398,-0.03731206,-1.01850657,stop,3,3.903322,19.516433,uptrend close 271.85 above SMA50 244.28 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:NVDA:2026-06-05:106,pullback_reclaim_uptrend,v1.0,NVDA,long,2026-06-05T13:30:00+00:00,2026-06-05T13:30:00+00:00,214.637265,205.924843,206.027857,219.4245,93,-810.255226,-814.166454,-0.04078732,-1.01685019,stop,1,3.911228,19.55594,uptrend close 218.66 above SMA50 202.92 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:AMZN:2026-06-05:108,pullback_reclaim_uptrend,v1.0,AMZN,long,2026-06-05T13:30:00+00:00,2026-06-09T13:30:00+00:00,254.38713,243.085896,243.2075,265.3755,78,-881.496232,-885.376522,-0.04462089,-1.01532708,stop,3,3.88029,19.401232,uptrend close 253.79 above SMA50 250.47 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:QQQ:2026-06-12:111,pullback_reclaim_uptrend,v1.0,QQQ,long,2026-06-12T13:30:00+00:00,2026-06-12T13:30:00+00:00,717.968805,721.062289,693.723214,721.423,27,83.524055,79.638671,0.00410823,0.1216543,target,1,3.885384,19.426945,uptrend close 717.12 above SMA50 679.07 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:SPY:2026-06-12:112,pullback_reclaim_uptrend,v1.0,SPY,long,2026-06-12T13:30:00+00:00,2026-06-15T13:30:00+00:00,741.080355,745.022802,723.868929,745.3955,26,102.503629,98.63976,0.00511933,0.22042548,target,2,3.863868,19.319371,uptrend close 737.76 above SMA50 721.07 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:NVDA:2026-06-09:119,pullback_reclaim_uptrend,v1.0,NVDA,long,2026-06-09T13:30:00+00:00,2026-06-25T13:30:00+00:00,210.72531,196.277169,196.375357,218.7765,69,-996.921697,-999.730014,-0.068757,-1.00967863,stop,12,2.808317,14.04134,uptrend close 208.64 above SMA50 204.19 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:AAPL:2026-06-11:119,pullback_reclaim_uptrend,v1.0,AAPL,long,2026-06-11T13:30:00+00:00,2026-06-25T13:30:00+00:00,293.86686,280.414722,280.555,304.397,68,-914.74535,-918.650465,-0.04597172,-1.01485184,stop,10,3.905115,19.52535,uptrend close 291.58 above SMA50 283.94 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:QQQ:2026-06-26:122,pullback_reclaim_uptrend,v1.0,QQQ,long,2026-06-26T13:30:00+00:00,2026-06-30T13:30:00+00:00,707.483565,725.853392,684.734286,726.2165,28,514.355149,510.341806,0.02576243,0.80118991,target,3,4.013343,20.066851,uptrend close 716.38 above SMA50 701.41 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
pullback_reclaim_uptrend:SPY:2026-06-26:122,pullback_reclaim_uptrend,v1.0,SPY,long,2026-06-26T13:30:00+00:00,2026-06-30T13:30:00+00:00,729.314475,744.510059,716.040714,744.8825,27,410.280761,406.301435,0.02063335,1.13368032,target,3,3.979326,19.896739,uptrend close 734.30 above SMA50 733.77 | prior bar showed RSI/Bollinger pullback and current bar reclaimed upward
