trade_id,strategy_id,strategy_version,symbol,direction,entry_time,exit_time,entry_price,exit_price,stop,target,quantity,gross_pnl,net_pnl,return_pct,r_multiple,exit_reason,holding_bars,fees_paid,slippage_paid,evidence
ts_momentum_sma_atr:AMZN:2026-04-09:67,ts_momentum_sma_atr,v1.0,AMZN,long,2026-04-09T13:30:00+00:00,2026-04-10T13:30:00+00:00,225.342615,239.614419,208.927143,239.734286,60,856.308214,853.518472,0.06312746,0.86657927,target,2,2.789742,13.948929,close 221.25 above SMA50 213.72 | 20-bar trailing return 3.23%
ts_momentum_sma_atr:QQQ:2026-04-10:72,ts_momentum_sma_atr,v1.0,QQQ,long,2026-04-10T13:30:00+00:00,2026-04-17T13:30:00+00:00,612.14592,646.370225,585.854286,646.693571,32,1095.177749,1091.150497,0.05570315,1.29693166,target,6,4.027252,20.136537,close 610.19 above SMA50 601.08 | 20-bar trailing return 0.41%
ts_momentum_sma_atr:SPY:2026-04-10:77,ts_momentum_sma_atr,v1.0,SPY,long,2026-04-10T13:30:00+00:00,2026-04-24T13:30:00+00:00,681.66066,713.388841,657.352857,713.745714,29,920.117261,916.071618,0.04634077,1.29952825,target,11,4.045644,20.228453,close 679.91 above SMA50 674.61 | 20-bar trailing return 0.53%
ts_momentum_sma_atr:AMZN:2026-04-13:77,ts_momentum_sma_atr,v1.0,AMZN,long,2026-04-13T13:30:00+00:00,2026-04-24T13:30:00+00:00,237.568725,259.10681,224.475714,259.236429,76,1636.894487,1633.119753,0.09045137,1.64121288,target,10,3.774734,18.874084,close 238.38 above SMA50 213.40 | 20-bar trailing return 13.77%
ts_momentum_sma_atr:NVDA:2026-04-13:77,ts_momentum_sma_atr,v1.0,NVDA,long,2026-04-13T13:30:00+00:00,2026-04-24T13:30:00+00:00,186.123015,204.112893,178.24,204.215,107,1924.916893,1920.741368,0.09644618,2.27715587,target,10,4.175524,20.878107,close 188.63 above SMA50 182.08 | 20-bar trailing return 3.00%
ts_momentum_sma_atr:AAPL:2026-04-16:82,ts_momentum_sma_atr,v1.0,AAPL,long,2026-04-16T13:30:00+00:00,2026-05-01T13:30:00+00:00,266.9334,285.009567,253.948571,285.152143,74,1337.636342,1333.551964,0.06751112,1.38784832,target,12,4.084378,20.422229,close 266.43 above SMA50 260.81 | 20-bar trailing return 4.80%
ts_momentum_sma_atr:NVDA:2026-04-27:82,ts_momentum_sma_atr,v1.0,NVDA,long,2026-04-27T13:30:00+00:00,2026-05-01T13:30:00+00:00,209.754825,197.606861,197.705714,224.116429,82,-996.133013,-999.473379,-0.05810927,-1.01158501,stop,5,3.340366,16.701584,close 208.27 above SMA50 185.03 | 20-bar trailing return 21.62%
ts_momentum_sma_atr:QQQ:2026-04-20:85,ts_momentum_sma_atr,v1.0,QQQ,long,2026-04-20T13:30:00+00:00,2026-05-06T13:30:00+00:00,648.36402,683.391705,625.594286,683.733571,30,1050.830539,1046.835272,0.05381932,1.53249523,target,13,3.995267,19.976604,close 648.85 above SMA50 602.10 | 20-bar trailing return 9.41%
ts_momentum_sma_atr:NVDA:2026-05-04:87,ts_momentum_sma_atr,v1.0,NVDA,long,2026-05-04T13:30:00+00:00,2026-05-08T13:30:00+00:00,199.59975,217.558309,185.638571,217.667143,71,1275.057709,1272.095887,0.08976386,1.28333316,target,5,2.961822,14.809434,close 198.45 above SMA50 187.15 | 20-bar trailing return 11.87%
ts_momentum_sma_atr:SPY:2026-04-27:88,ts_momentum_sma_atr,v1.0,SPY,long,2026-04-27T13:30:00+00:00,2026-05-11T13:30:00+00:00,713.526585,737.731664,697.832857,738.100714,28,677.74221,673.678687,0.03371977,1.53309356,target,11,4.063523,20.31779,close 713.94 above SMA50 676.99 | 20-bar trailing return 10.67%
ts_momentum_sma_atr:AAPL:2026-05-04:90,ts_momentum_sma_atr,v1.0,AAPL,long,2026-05-04T13:30:00+00:00,2026-05-13T13:30:00+00:00,279.79983,300.301917,266.598571,300.452143,71,1455.648162,1451.529439,0.07306679,1.54864602,target,8,4.118722,20.593981,close 280.14 above SMA50 261.22 | 20-bar trailing return 9.46%
ts_momentum_sma_atr:QQQ:2026-05-07:98,ts_momentum_sma_atr,v1.0,QQQ,long,2026-05-07T13:30:00+00:00,2026-05-26T13:30:00+00:00,696.92829,723.316732,677.164286,723.678571,28,738.87638,734.899694,0.03766014,1.32799089,target,13,3.976686,19.88362,close 695.77 above SMA50 617.31 | 20-bar trailing return 14.80%
ts_momentum_sma_atr:MSFT:2026-04-16:101,ts_momentum_sma_atr,v1.0,MSFT,long,2026-04-16T13:30:00+00:00,2026-05-29T13:30:00+00:00,420.06993,440.907293,391.281429,441.127857,34,708.470349,705.543027,0.04939955,0.72081784,target,31,2.927323,14.636794,close 411.22 above SMA50 391.91 | 20-bar trailing return 2.96%
