date,mode,strategy_id,strategy_version,strategy_status,data_snapshot_id,starting_equity,ending_equity,realized_pnl,unrealized_pnl,total_pnl,daily_return_pct,cumulative_return_pct,drawdown_pct,trades_opened,trades_closed,pending_orders,open_positions,wins,losses,flats,average_r,expectancy_r,exposure_pct,fees_paid,slippage_estimate,warnings,run_id
2026-06-29,demo,ts_momentum_sma_atr,v1.0,experimental,paper_ops_demo_synthetic_snapshot,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,synthetic demo data; not market evidence,paper_ops:demo:2026-06-29:paper_ops_demo_synthetic_snapshot
2026-06-29,demo,donchian_breakout_20_10,v1.0,experimental,paper_ops_demo_synthetic_snapshot,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,synthetic demo data; not market evidence,paper_ops:demo:2026-06-29:paper_ops_demo_synthetic_snapshot
2026-06-29,demo,cross_sectional_relative_strength,v1.0,experimental,paper_ops_demo_synthetic_snapshot,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,synthetic demo data; not market evidence,paper_ops:demo:2026-06-29:paper_ops_demo_synthetic_snapshot
2026-06-29,demo,pullback_reclaim_uptrend,v1.0,experimental,paper_ops_demo_synthetic_snapshot,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,synthetic demo data; not market evidence,paper_ops:demo:2026-06-29:paper_ops_demo_synthetic_snapshot
2026-06-29,demo,volatility_contraction_breakout,v1.0,experimental,paper_ops_demo_synthetic_snapshot,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,synthetic demo data; not market evidence,paper_ops:demo:2026-06-29:paper_ops_demo_synthetic_snapshot
2026-06-29,demo,failed_breakout_reversal_short,v1.0,experimental,paper_ops_demo_synthetic_snapshot,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,synthetic demo data; not market evidence,paper_ops:demo:2026-06-29:paper_ops_demo_synthetic_snapshot
2026-06-29,demo,bullish_fvg_continuation,v1.0,experimental,paper_ops_demo_synthetic_snapshot,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,synthetic demo data; not market evidence,paper_ops:demo:2026-06-29:paper_ops_demo_synthetic_snapshot
2026-06-29,forward,ts_momentum_sma_atr,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-29:forward:ts_momentum_sma_atr
2026-06-29,forward,donchian_breakout_20_10,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-29:forward:donchian_breakout_20_10
2026-06-29,forward,cross_sectional_relative_strength,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.715538,3.5759,,paper_ops:ledger_rebuild:2026-06-29:forward:cross_sectional_relative_strength
2026-06-29,forward,pullback_reclaim_uptrend,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-29:forward:pullback_reclaim_uptrend
2026-06-29,forward,volatility_contraction_breakout,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-29:forward:volatility_contraction_breakout
2026-06-29,forward,failed_breakout_reversal_short,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-29:forward:failed_breakout_reversal_short
2026-06-29,forward,bullish_fvg_continuation,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-29:forward:bullish_fvg_continuation
2026-06-26,replay,ts_momentum_sma_atr,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-26:replay:ts_momentum_sma_atr
2026-06-26,replay,donchian_breakout_20_10,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-26:replay:donchian_breakout_20_10
2026-06-26,replay,cross_sectional_relative_strength,v1.0,experimental,ledger_rebuild,100000,99986.136315,0,-13.863685,-13.863685,-0.00013864,-0.00013864,-0.00013864,4,0,1,4,0,0,0,0,0,0,3.60727674,18.02737,,paper_ops:ledger_rebuild:2026-06-26:replay:cross_sectional_relative_strength
